"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","winning_team","draw"
"1997-06-08","Finland","Azerbaijan",3,0,"FIFA World Cup qualification","Helsinki","Finland",false,"Finland",0
"1997-06-08","Hungary","Norway",1,1,"FIFA World Cup qualification","Budapest","Hungary",false,"draw",1
"1997-06-08","Latvia","Austria",1,3,"FIFA World Cup qualification","Riga","Latvia",false,"Austria",0
"1997-06-08","Serbia","Slovakia",2,0,"FIFA World Cup qualification","Belgrade","Yugoslavia",true,"Serbia",0
"1997-06-08","Spain","Czech Republic",1,0,"FIFA World Cup qualification","Valladolid","Spain",false,"Spain",0
"1997-06-11","France","Italy",2,2,"Tournoi de France","Paris","France",false,"draw",1
"1997-06-11","Iceland","Lithuania",0,0,"FIFA World Cup qualification","Reykjavík","Iceland",false,"draw",1
"1997-06-12","Croatia","Turkey",1,1,"Kirin Cup","Sendai","Japan",true,"draw",1
"1997-06-14","Poland","Georgia",4,1,"FIFA World Cup qualification","Katowice","Poland",false,"Poland",0
"1997-06-22","Estonia","Andorra",4,1,"Friendly","Kuressaare","Estonia",false,"Estonia",0
"1997-06-25","Latvia","Andorra",4,1,"Friendly","Riga","Latvia",false,"Latvia",0
"1997-07-09","Lithuania","Estonia",2,1,"Baltic Cup","Vilnius","Lithuania",false,"Lithuania",0
"1997-07-10","Estonia","Latvia",1,2,"Baltic Cup","Vilnius","Lithuania",true,"Latvia",0
"1997-07-11","Lithuania","Latvia",1,0,"Baltic Cup","Vilnius","Lithuania",false,"Lithuania",0
"1997-07-20","Iceland","Norway",0,1,"Friendly","Reykjavík","Iceland",false,"Norway",0
"1997-07-27","Iceland","Faroe Islands",1,0,"Friendly","Höfn","Iceland",false,"Iceland",0
"1997-08-06","Estonia","Faroe Islands",0,2,"Friendly","Tartu","Estonia",false,"Faroe Islands",0
"1997-08-06","Hungary","Malta",3,0,"Friendly","Siófok","Hungary",false,"Hungary",0
"1997-08-06","Slovakia","Switzerland",1,0,"Friendly","Bratislava","Slovakia",false,"Slovakia",0
"1997-08-06","Sweden","Lithuania",1,0,"Friendly","Malmö","Sweden",false,"Sweden",0
"1997-08-19","Greece","Cyprus",2,1,"Friendly","Heraklion","Greece",false,"Greece",0
"1997-08-19","Latvia","Azerbaijan",0,0,"Friendly","Riga","Latvia",false,"draw",1
"1997-08-20","Belarus","Sweden",1,2,"FIFA World Cup qualification","Minsk","Belarus",false,"Sweden",0
"1997-08-20","Bosnia and Herzegovina","Denmark",3,0,"FIFA World Cup qualification","Sarajevo","Bosnia and Herzegovina",false,"Bosnia and Herzegovina",0
"1997-08-20","Czech Republic","Faroe Islands",2,0,"FIFA World Cup qualification","Teplice","Czech Republic",false,"Czech Republic",0
"1997-08-20","Estonia","Austria",0,3,"FIFA World Cup qualification","Tallinn","Estonia",false,"Austria",0
"1997-08-20","Finland","Norway",0,4,"FIFA World Cup qualification","Helsinki","Finland",false,"Norway",0
"1997-08-20","Hungary","Switzerland",1,1,"FIFA World Cup qualification","Budapest","Hungary",false,"draw",1
"1997-08-20","Republic of Ireland","Lithuania",0,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"draw",1
"1997-08-20","Liechtenstein","Iceland",0,4,"FIFA World Cup qualification","Eschen","Liechtenstein",false,"Iceland",0
"1997-08-20","Portugal","Armenia",3,1,"FIFA World Cup qualification","Setúbal","Portugal",false,"Portugal",0
"1997-08-20","Romania","North Macedonia",4,2,"FIFA World Cup qualification","Bucharest","Romania",false,"Romania",0
"1997-08-20","Turkey","Wales",6,4,"FIFA World Cup qualification","Istanbul","Turkey",false,"Turkey",0
"1997-08-20","Ukraine","Albania",1,0,"FIFA World Cup qualification","Kyiv","Ukraine",false,"Ukraine",0
"1997-08-24","Slovakia","Czech Republic",2,1,"FIFA World Cup qualification","Bratislava","Slovakia",false,"Slovakia",0
"1997-09-06","Armenia","Albania",3,0,"FIFA World Cup qualification","Yerevan","Armenia",false,"Armenia",0
"1997-09-06","Austria","Sweden",1,0,"FIFA World Cup qualification","Vienna","Austria",false,"Austria",0
"1997-09-06","Azerbaijan","Norway",0,1,"FIFA World Cup qualification","Baku","Azerbaijan",false,"Norway",0
"1997-09-06","Croatia","Bosnia and Herzegovina",3,2,"FIFA World Cup qualification","Zagreb","Croatia",false,"Croatia",0
"1997-09-06","Faroe Islands","Czech Republic",0,2,"FIFA World Cup qualification","Toftir","Faroe Islands",false,"Czech Republic",0
"1997-09-06","Iceland","Republic of Ireland",2,4,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Republic of Ireland",0
"1997-09-06","Latvia","Estonia",1,0,"FIFA World Cup qualification","Riga","Latvia",false,"Latvia",0
"1997-09-06","Liechtenstein","Romania",1,8,"FIFA World Cup qualification","Eschen","Liechtenstein",false,"Romania",0
"1997-09-06","Lithuania","North Macedonia",2,0,"FIFA World Cup qualification","Vilnius","Lithuania",false,"Lithuania",0
"1997-09-06","Netherlands","Belgium",3,1,"FIFA World Cup qualification","Rotterdam","Netherlands",false,"Netherlands",0
"1997-09-06","Poland","Hungary",1,0,"Friendly","Warsaw","Poland",false,"Poland",0
"1997-09-06","Slovenia","Greece",0,3,"FIFA World Cup qualification","Ljubljana","Slovenia",false,"Greece",0
"1997-09-06","Switzerland","Finland",1,2,"FIFA World Cup qualification","Lausanne","Switzerland",false,"Finland",0
"1997-09-07","Luxembourg","Cyprus",1,3,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"Cyprus",0
"1997-09-07","Scotland","Belarus",4,1,"FIFA World Cup qualification","Aberdeen","Scotland",false,"Scotland",0
"1997-09-10","Albania","Northern Ireland",1,0,"FIFA World Cup qualification","Zürich","Switzerland",true,"Albania",0
"1997-09-10","Belarus","Austria",0,1,"FIFA World Cup qualification","Minsk","Belarus",false,"Austria",0
"1997-09-10","Bosnia and Herzegovina","Slovenia",1,0,"FIFA World Cup qualification","Sarajevo","Bosnia and Herzegovina",false,"Bosnia and Herzegovina",0
"1997-09-10","Denmark","Croatia",3,1,"FIFA World Cup qualification","Copenhagen","Denmark",false,"Denmark",0
"1997-09-10","England","Moldova",4,0,"FIFA World Cup qualification","London","England",false,"England",0
"1997-09-10","Georgia","Italy",0,0,"FIFA World Cup qualification","Tbilisi","Georgia",false,"draw",1
"1997-09-10","Hungary","Azerbaijan",3,1,"FIFA World Cup qualification","Budapest","Hungary",false,"Hungary",0
"1997-09-10","Lithuania","Republic of Ireland",1,2,"FIFA World Cup qualification","Vilnius","Lithuania",false,"Republic of Ireland",0
"1997-09-10","Norway","Switzerland",5,0,"FIFA World Cup qualification","Oslo","Norway",false,"Norway",0
"1997-09-10","Romania","Iceland",4,0,"FIFA World Cup qualification","Bucharest","Romania",false,"Romania",0
"1997-09-10","San Marino","Turkey",0,5,"FIFA World Cup qualification","Serravalle","San Marino",false,"Turkey",0
"1997-09-10","Slovakia","Serbia",1,1,"FIFA World Cup qualification","Bratislava","Slovakia",false,"draw",1
"1997-09-10","Sweden","Latvia",1,0,"FIFA World Cup qualification","Solna","Sweden",false,"Sweden",0
"1997-09-24","Malta","Czech Republic",0,1,"FIFA World Cup qualification","Attard","Malta",false,"Czech Republic",0
"1997-09-24","Moldova","Georgia",0,1,"FIFA World Cup qualification","Chișinău","Moldova",false,"Georgia",0
"1997-09-24","Poland","Lithuania",2,0,"Friendly","Olsztyn","Poland",false,"Poland",0
"1997-09-24","Slovakia","Spain",1,2,"FIFA World Cup qualification","Bratislava","Slovakia",false,"Spain",0
"1997-10-07","Moldova","Poland",0,3,"FIFA World Cup qualification","Chișinău","Moldova",false,"Poland",0
"1997-10-11","Armenia","Ukraine",0,2,"FIFA World Cup qualification","Yerevan","Armenia",false,"Ukraine",0
"1997-10-11","Austria","Belarus",4,0,"FIFA World Cup qualification","Vienna","Austria",false,"Austria",0
"1997-10-11","Belgium","Wales",3,2,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1997-10-11","Cyprus","Luxembourg",2,0,"FIFA World Cup qualification","Limassol","Cyprus",false,"Cyprus",0
"1997-10-11","Czech Republic","Slovakia",3,0,"FIFA World Cup qualification","Prague","Czech Republic",false,"Czech Republic",0
"1997-10-11","Finland","Hungary",1,1,"FIFA World Cup qualification","Helsinki","Finland",false,"draw",1
"1997-10-11","Georgia","Poland",3,0,"FIFA World Cup qualification","Tbilisi","Georgia",false,"Georgia",0
"1997-10-11","Greece","Denmark",0,0,"FIFA World Cup qualification","Athens","Greece",false,"draw",1
"1997-10-11","Iceland","Liechtenstein",4,0,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Iceland",0
"1997-10-11","Republic of Ireland","Romania",1,1,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"draw",1
"1997-10-11","Italy","England",0,0,"FIFA World Cup qualification","Rome","Italy",false,"draw",1
"1997-10-11","North Macedonia","Lithuania",1,2,"FIFA World Cup qualification","Skopje","North Macedonia",false,"Lithuania",0
"1997-10-11","Malta","Serbia",0,5,"FIFA World Cup qualification","Attard","Malta",false,"Serbia",0
"1997-10-11","Netherlands","Turkey",0,0,"FIFA World Cup qualification","Amsterdam","Netherlands",false,"draw",1
"1997-10-11","Portugal","Northern Ireland",1,0,"FIFA World Cup qualification","Lisbon","Portugal",false,"Portugal",0
"1997-10-11","Scotland","Latvia",2,0,"FIFA World Cup qualification","Glasgow","Scotland",false,"Scotland",0
"1997-10-11","Slovenia","Croatia",1,3,"FIFA World Cup qualification","Ljubljana","Slovenia",false,"Croatia",0
"1997-10-11","Spain","Faroe Islands",3,1,"FIFA World Cup qualification","Gijón","Spain",false,"Spain",0
"1997-10-11","Sweden","Estonia",1,0,"FIFA World Cup qualification","Solna","Sweden",false,"Sweden",0
"1997-10-11","Switzerland","Azerbaijan",5,0,"FIFA World Cup qualification","Zürich","Switzerland",false,"Switzerland",0
"1997-10-29","Croatia","Ukraine",2,0,"FIFA World Cup qualification","Zagreb","Croatia",false,"Croatia",0
"1997-10-29","Hungary","Serbia",1,7,"FIFA World Cup qualification","Budapest","Hungary",false,"Serbia",0
"1997-10-29","Republic of Ireland","Belgium",1,1,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"draw",1
"1997-11-12","France","Scotland",2,1,"Friendly","Saint-Étienne","France",false,"France",0
"1997-11-15","Belgium","Republic of Ireland",2,1,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1997-11-15","Serbia","Hungary",5,0,"FIFA World Cup qualification","Belgrade","Yugoslavia",true,"Serbia",0
"1997-11-15","Ukraine","Croatia",1,1,"FIFA World Cup qualification","Kyiv","Ukraine",false,"draw",1
"1997-11-19","Spain","Romania",1,1,"Friendly","Palma de Mallorca","Spain",false,"draw",1
"1998-01-21","Turkey","Albania",1,4,"Friendly","Antalya","Turkey",false,"Albania",0
"1998-01-28","France","Spain",1,0,"Friendly","Saint-Denis","France",false,"France",0
"1998-01-28","Italy","Slovakia",3,0,"Friendly","Catania","Italy",false,"Italy",0
"1998-02-05","Cyprus","Finland",1,1,"Cyprus International Tournament","Limassol","Cyprus",false,"draw",1
"1998-02-05","Iceland","Slovenia",2,3,"Cyprus International Tournament","Limassol","Cyprus",true,"Slovenia",0
"1998-02-06","Georgia","Latvia",2,1,"Malta International Tournament","Attard","Malta",true,"Georgia",0
"1998-02-06","Malta","Albania",1,1,"Malta International Tournament","Attard","Malta",false,"draw",1
"1998-02-06","Slovenia","Slovakia",1,1,"Cyprus International Tournament","Limassol","Cyprus",true,"draw",1
"1998-02-07","Iceland","Slovakia",1,2,"Cyprus International Tournament","Limassol","Cyprus",true,"Slovakia",0
"1998-02-08","Albania","Georgia",0,3,"Malta International Tournament","Attard","Malta",true,"Georgia",0
"1998-02-08","Malta","Latvia",2,1,"Malta International Tournament","Attard","Malta",false,"Malta",0
"1998-02-09","Cyprus","Slovenia",1,0,"Cyprus International Tournament","Limassol","Cyprus",false,"Cyprus",0
"1998-02-09","Finland","Slovakia",0,2,"Cyprus International Tournament","Larnaca","Cyprus",true,"Slovakia",0
"1998-02-10","Albania","Latvia",2,2,"Malta International Tournament","Attard","Malta",true,"draw",1
"1998-02-10","Malta","Georgia",1,3,"Malta International Tournament","Attard","Malta",false,"Georgia",0
"1998-02-25","France","Norway",3,3,"Friendly","Marseille","France",false,"draw",1
"1998-03-22","Azerbaijan","Moldova",1,0,"Friendly","Baku","Azerbaijan",false,"Azerbaijan",0
"1998-03-25","Austria","Hungary",2,3,"Friendly","Vienna","Austria",false,"Hungary",0
"1998-03-25","Belgium","Norway",2,2,"Friendly","Brussels","Belgium",false,"draw",1
"1998-03-25","Czech Republic","Republic of Ireland",2,1,"Friendly","Olomouc","Czech Republic",false,"Czech Republic",0
"1998-03-25","North Macedonia","Bulgaria",1,0,"Friendly","Skopje","North Macedonia",false,"North Macedonia",0
"1998-03-25","Malta","Finland",0,2,"Friendly","Attard","Malta",false,"Finland",0
"1998-03-25","Northern Ireland","Slovakia",1,0,"Friendly","Belfast","Northern Ireland",false,"Northern Ireland",0
"1998-03-25","Poland","Slovenia",2,0,"Friendly","Warsaw","Poland",false,"Poland",0
"1998-03-25","Scotland","Denmark",0,1,"Friendly","Glasgow","Scotland",false,"Denmark",0
"1998-03-25","Spain","Sweden",4,0,"Friendly","Vigo","Spain",false,"Spain",0
"1998-03-25","Switzerland","England",1,1,"Friendly","Berne","Switzerland",false,"draw",1
"1998-04-08","Romania","Greece",2,1,"Friendly","Bucharest","Romania",false,"Romania",0
"1998-04-21","Latvia","Lithuania",1,2,"Baltic Cup","Liepāja","Latvia",false,"Lithuania",0
"1998-04-22","Belgium","Romania",1,1,"Friendly","Brussels","Belgium",false,"draw",1
"1998-04-22","Croatia","Poland",4,1,"Friendly","Osijek","Croatia",false,"Croatia",0
"1998-04-22","Denmark","Norway",0,2,"Friendly","Copenhagen","Denmark",false,"Norway",0
"1998-04-22","England","Portugal",3,0,"Friendly","London","England",false,"England",0
"1998-04-22","Hungary","North Macedonia",0,0,"Friendly","Tehran","Iran",true,"draw",1
"1998-04-22","Northern Ireland","Switzerland",1,0,"Friendly","Belfast","Northern Ireland",false,"Northern Ireland",0
"1998-04-22","Scotland","Finland",1,1,"Friendly","Edinburgh","Scotland",false,"draw",1
"1998-04-22","Slovenia","Czech Republic",1,3,"Friendly","Murska Sobota","Slovenia",false,"Czech Republic",0
"1998-04-22","Sweden","France",0,0,"Friendly","Solna","Sweden",false,"draw",1
"1998-05-16","Estonia","Azerbaijan",0,0,"Friendly","Viljandi","Estonia",false,"draw",1
"1998-05-27","Belgium","France",0,1,"King Hassan II Tournament","Casablanca","Morocco",true,"France",0
"1998-05-27","Hungary","Lithuania",1,0,"Friendly","Nyíregyháza","Hungary",false,"Hungary",0
"1998-05-28","Sweden","Denmark",3,0,"Friendly","Malmö","Sweden",false,"Sweden",0
"1998-05-29","Belgium","England",0,0,"King Hassan II Tournament","Casablanca","Morocco",true,"draw",1
"1998-06-02","Austria","Liechtenstein",6,0,"Friendly","Vienna","Austria",false,"Austria",0
"1998-06-02","Sweden","Italy",1,0,"Friendly","Gothenburg","Sweden",false,"Sweden",0
"1998-06-03","North Macedonia","Bosnia and Herzegovina",1,1,"Friendly","Skopje","North Macedonia",false,"draw",1
"1998-06-03","Malta","Wales",0,3,"Friendly","Attard","Malta",false,"Wales",0
"1998-06-03","Spain","Northern Ireland",4,1,"Friendly","Santander","Spain",false,"Spain",0
"1998-06-04","Estonia","Faroe Islands",5,0,"UEFA Euro qualification","Tallinn","Estonia",false,"Estonia",0
"1998-06-05","Finland","France",0,1,"Friendly","Helsinki","Finland",false,"France",0
"1998-06-06","Romania","Moldova",5,1,"Friendly","Ploiești","Romania",false,"Romania",0
"1998-06-06","Switzerland","Serbia",1,1,"Friendly","Basel","Switzerland",false,"draw",1
"1998-06-07","Belarus","Lithuania",5,0,"Friendly","Minsk","Belarus",false,"Belarus",0
"1998-06-13","Netherlands","Belgium",0,0,"FIFA World Cup","Saint-Denis","France",true,"draw",1
"1998-06-16","Scotland","Norway",1,1,"FIFA World Cup","Bordeaux","France",true,"draw",1
"1998-06-22","Estonia","Andorra",2,1,"Friendly","Kuressaare","Estonia",false,"Estonia",0
"1998-06-22","Romania","England",2,1,"FIFA World Cup","Toulouse","France",true,"Romania",0
"1998-06-23","Italy","Austria",2,1,"FIFA World Cup","Saint-Denis","France",true,"Italy",0
"1998-06-24","Andorra","Azerbaijan",0,0,"Friendly","Viljandi","Estonia",true,"draw",1
"1998-06-24","France","Denmark",2,1,"FIFA World Cup","Lyon","France",false,"France",0
"1998-06-24","Spain","Bulgaria",6,1,"FIFA World Cup","Lens","France",true,"Spain",0
"1998-06-25","Estonia","Latvia",0,2,"Baltic Cup","Valga","Estonia",false,"Latvia",0
"1998-06-26","Azerbaijan","Lithuania",2,1,"Friendly","Viljandi","Estonia",true,"Azerbaijan",0
"1998-06-26","Latvia","Andorra",2,0,"Friendly","Pärnu","Estonia",true,"Latvia",0
"1998-06-27","Italy","Norway",1,0,"FIFA World Cup","Marseille","France",true,"Italy",0
"1998-06-28","Estonia","Lithuania",0,0,"Baltic Cup","Viljandi","Estonia",false,"draw",1
"1998-06-29","Lithuania","Andorra",4,0,"Friendly","Karksi-Nuia","Estonia",true,"Lithuania",0
"1998-06-29","Netherlands","Serbia",2,1,"FIFA World Cup","Toulouse","France",true,"Netherlands",0
"1998-06-30","Romania","Croatia",0,1,"FIFA World Cup","Bordeaux","France",true,"Croatia",0
"1998-07-03","France","Italy",0,0,"FIFA World Cup","Saint-Denis","France",false,"draw",1
"1998-07-08","France","Croatia",2,1,"FIFA World Cup","Saint-Denis","France",false,"France",0
"1998-07-11","Netherlands","Croatia",1,2,"FIFA World Cup","Paris","France",true,"Croatia",0
"1998-07-15","Ukraine","Poland",1,2,"Friendly","Kyiv","Ukraine",false,"Poland",0
"1998-08-12","Azerbaijan","Georgia",1,0,"Friendly","Gəncə","Azerbaijan",false,"Azerbaijan",0
"1998-08-16","Lithuania","Moldova",1,1,"Friendly","Kaunas","Lithuania",false,"draw",1
"1998-08-19","Austria","France",2,2,"Friendly","Vienna","Austria",false,"draw",1
"1998-08-19","Bosnia and Herzegovina","Faroe Islands",1,0,"UEFA Euro qualification","Sarajevo","Bosnia and Herzegovina",false,"Bosnia and Herzegovina",0
"1998-08-19","Cyprus","Albania",3,2,"Friendly","Nicosia","Cyprus",false,"Cyprus",0
"1998-08-19","Czech Republic","Denmark",1,0,"Friendly","Prague","Czech Republic",false,"Czech Republic",0
"1998-08-19","Hungary","Slovenia",2,1,"Friendly","Zalaegerszeg","Hungary",false,"Hungary",0
"1998-08-19","Iceland","Latvia",4,1,"Friendly","Reykjavík","Iceland",false,"Iceland",0
"1998-08-19","Lithuania","Belarus",0,3,"Friendly","Vilnius","Lithuania",false,"Belarus",0
"1998-08-19","Norway","Romania",0,0,"Friendly","Oslo","Norway",false,"draw",1
"1998-08-19","Slovakia","Finland",0,0,"Friendly","Košice","Slovakia",false,"draw",1
"1998-08-19","Ukraine","Georgia",4,0,"Friendly","Kyiv","Ukraine",false,"Ukraine",0
"1998-08-20","Estonia","Moldova",0,1,"Friendly","Kohtla-Järve","Estonia",false,"Moldova",0
"1998-09-02","Romania","Liechtenstein",7,0,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1998-09-02","Serbia","Switzerland",1,1,"Friendly","Niš","Yugoslavia",false,"draw",1
"1998-09-05","Armenia","Andorra",3,1,"UEFA Euro qualification","Yerevan","Armenia",false,"Armenia",0
"1998-09-05","Belarus","Denmark",0,0,"UEFA Euro qualification","Minsk","Belarus",false,"draw",1
"1998-09-05","Bosnia and Herzegovina","Estonia",1,1,"UEFA Euro qualification","Sarajevo","Bosnia and Herzegovina",false,"draw",1
"1998-09-05","Cyprus","Spain",3,2,"UEFA Euro qualification","Larnaca","Cyprus",false,"Cyprus",0
"1998-09-05","Finland","Moldova",3,2,"UEFA Euro qualification","Helsinki","Finland",false,"Finland",0
"1998-09-05","Georgia","Albania",1,0,"UEFA Euro qualification","Tbilisi","Georgia",false,"Georgia",0
"1998-09-05","Iceland","France",1,1,"UEFA Euro qualification","Reykjavík","Iceland",false,"draw",1
"1998-09-05","Republic of Ireland","Croatia",2,0,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"Republic of Ireland",0
"1998-09-05","Lithuania","Scotland",0,0,"UEFA Euro qualification","Vilnius","Lithuania",false,"draw",1
"1998-09-05","Slovakia","Azerbaijan",3,0,"UEFA Euro qualification","Košice","Slovakia",false,"Slovakia",0
"1998-09-05","Sweden","England",2,1,"UEFA Euro qualification","Solna","Sweden",false,"Sweden",0
"1998-09-05","Turkey","Northern Ireland",3,0,"UEFA Euro qualification","Istanbul","Turkey",false,"Turkey",0
"1998-09-05","Wales","Italy",0,2,"UEFA Euro qualification","Liverpool","England",true,"Italy",0
"1998-09-06","Bulgaria","Poland",0,3,"UEFA Euro qualification","Burgas","Bulgaria",false,"Poland",0
"1998-09-06","Faroe Islands","Czech Republic",0,1,"UEFA Euro qualification","Toftir","Faroe Islands",false,"Czech Republic",0
"1998-09-06","Greece","Slovenia",2,2,"UEFA Euro qualification","Athens","Greece",false,"draw",1
"1998-09-06","Hungary","Portugal",1,3,"UEFA Euro qualification","Budapest","Hungary",false,"Portugal",0
"1998-09-06","North Macedonia","Malta",4,0,"UEFA Euro qualification","Skopje","North Macedonia",false,"North Macedonia",0
"1998-09-06","Norway","Latvia",1,3,"UEFA Euro qualification","Oslo","Norway",false,"Latvia",0
"1998-10-10","Andorra","Ukraine",0,2,"UEFA Euro qualification","Sant Julià de Lòria","Andorra",false,"Ukraine",0
"1998-10-10","Armenia","Iceland",0,0,"UEFA Euro qualification","Yerevan","Armenia",false,"draw",1
"1998-10-10","Azerbaijan","Hungary",0,4,"UEFA Euro qualification","Baku","Azerbaijan",false,"Hungary",0
"1998-10-10","Bosnia and Herzegovina","Czech Republic",1,3,"UEFA Euro qualification","Sarajevo","Bosnia and Herzegovina",false,"Czech Republic",0
"1998-10-10","Cyprus","Austria",0,3,"UEFA Euro qualification","Larnaca","Cyprus",false,"Austria",0
"1998-10-10","Denmark","Wales",1,2,"UEFA Euro qualification","Copenhagen","Denmark",false,"Wales",0
"1998-10-10","England","Bulgaria",0,0,"UEFA Euro qualification","London","England",false,"draw",1
"1998-10-10","Italy","Switzerland",2,0,"UEFA Euro qualification","Udine","Italy",false,"Italy",0
"1998-10-10","Latvia","Georgia",1,0,"UEFA Euro qualification","Riga","Latvia",false,"Latvia",0
"1998-10-10","Liechtenstein","Slovakia",0,4,"UEFA Euro qualification","Vaduz","Liechtenstein",false,"Slovakia",0
"1998-10-10","Lithuania","Faroe Islands",0,0,"UEFA Euro qualification","Vilnius","Lithuania",false,"draw",1
"1998-10-10","Malta","Croatia",1,4,"UEFA Euro qualification","Attard","Malta",false,"Croatia",0
"1998-10-10","Northern Ireland","Finland",1,0,"UEFA Euro qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1998-10-10","Poland","Luxembourg",3,0,"UEFA Euro qualification","Warsaw","Poland",false,"Poland",0
"1998-10-10","Portugal","Romania",0,1,"UEFA Euro qualification","Porto","Portugal",false,"Romania",0
"1998-10-10","Scotland","Estonia",3,2,"UEFA Euro qualification","Edinburgh","Scotland",false,"Scotland",0
"1998-10-10","Slovenia","Norway",1,2,"UEFA Euro qualification","Ljubljana","Slovenia",false,"Norway",0
"1998-10-14","Bulgaria","Sweden",0,1,"UEFA Euro qualification","Burgas","Bulgaria",false,"Sweden",0
"1998-10-14","Croatia","North Macedonia",3,2,"UEFA Euro qualification","Zagreb","Croatia",false,"Croatia",0
"1998-10-14","Czech Republic","Estonia",4,1,"UEFA Euro qualification","Teplice","Czech Republic",false,"Czech Republic",0
"1998-10-14","France","Andorra",2,0,"UEFA Euro qualification","Saint-Denis","France",false,"France",0
"1998-10-14","Greece","Georgia",3,0,"UEFA Euro qualification","Athens","Greece",false,"Greece",0
"1998-10-14","Hungary","Romania",1,1,"UEFA Euro qualification","Budapest","Hungary",false,"draw",1
"1998-10-14","Republic of Ireland","Malta",5,0,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"Republic of Ireland",0
"1998-10-14","Liechtenstein","Azerbaijan",2,1,"UEFA Euro qualification","Vaduz","Liechtenstein",false,"Liechtenstein",0
"1998-10-14","Lithuania","Bosnia and Herzegovina",4,2,"UEFA Euro qualification","Vilnius","Lithuania",false,"Lithuania",0
"1998-10-14","Luxembourg","England",0,3,"UEFA Euro qualification","Luxembourg","Luxembourg",false,"England",0
"1998-10-14","Norway","Albania",2,2,"UEFA Euro qualification","Oslo","Norway",false,"draw",1
"1998-10-14","San Marino","Austria",1,4,"UEFA Euro qualification","Serravalle","San Marino",false,"Austria",0
"1998-10-14","Scotland","Faroe Islands",2,1,"UEFA Euro qualification","Aberdeen","Scotland",false,"Scotland",0
"1998-10-14","Slovakia","Portugal",0,3,"UEFA Euro qualification","Bratislava","Slovakia",false,"Portugal",0
"1998-10-14","Slovenia","Latvia",1,0,"UEFA Euro qualification","Maribor","Slovenia",false,"Slovenia",0
"1998-10-14","Switzerland","Denmark",1,1,"UEFA Euro qualification","Zürich","Switzerland",false,"draw",1
"1998-10-14","Turkey","Finland",1,3,"UEFA Euro qualification","Istanbul","Turkey",false,"Finland",0
"1998-10-14","Ukraine","Armenia",2,0,"UEFA Euro qualification","Kyiv","Ukraine",false,"Ukraine",0
"1998-10-14","Wales","Belarus",3,2,"UEFA Euro qualification","Cardiff","Wales",false,"Wales",0
"1998-11-10","Slovakia","Poland",1,3,"Friendly","Bratislava","Slovakia",false,"Poland",0
"1998-11-18","Albania","Greece",0,0,"UEFA Euro qualification","Tirana","Albania",false,"draw",1
"1998-11-18","England","Czech Republic",2,0,"Friendly","London","England",false,"England",0
"1998-11-18","Georgia","Estonia",3,1,"Friendly","Tbilisi","Georgia",false,"Georgia",0
"1998-11-18","Hungary","Switzerland",2,0,"Friendly","Budapest","Hungary",false,"Hungary",0
"1998-11-18","Italy","Spain",2,2,"Friendly","Salerno","Italy",false,"draw",1
"1998-11-18","Luxembourg","Belgium",0,0,"Friendly","Luxembourg","Luxembourg",false,"draw",1
"1998-11-18","Malta","North Macedonia",1,2,"UEFA Euro qualification","Attard","Malta",false,"North Macedonia",0
"1998-11-18","Northern Ireland","Moldova",2,2,"UEFA Euro qualification","Belfast","Northern Ireland",false,"draw",1
"1998-11-18","San Marino","Cyprus",0,1,"UEFA Euro qualification","Serravalle","San Marino",false,"Cyprus",0
"1998-11-18","Serbia","Republic of Ireland",1,0,"UEFA Euro qualification","Belgrade","Yugoslavia",false,"Serbia",0
"1998-11-21","Armenia","Estonia",2,1,"Friendly","Abovyan","Armenia",false,"Armenia",0
"1998-11-28","Azerbaijan","Estonia",2,1,"Friendly","Gəncə","Azerbaijan",false,"Azerbaijan",0
"1999-01-22","Estonia","Norway",3,3,"Friendly","Umm al-Fahm","Israel",true,"draw",1
"1999-01-27","Malta","Bosnia and Herzegovina",2,1,"Friendly","Attard","Malta",false,"Malta",0
"1999-02-03","Cyprus","Belgium",0,1,"Cyprus International Tournament","Limassol","Cyprus",false,"Belgium",0
"1999-02-03","Greece","Finland",2,1,"Cyprus International Tournament","Larnaca","Cyprus",true,"Greece",0
"1999-02-03","Malta","Poland",0,1,"Friendly","Attard","Malta",false,"Poland",0
"1999-02-05","Cyprus","Finland",2,1,"Cyprus International Tournament","Paralímni","Cyprus",false,"Cyprus",0
"1999-02-05","Greece","Belgium",1,0,"Cyprus International Tournament","Larnaca","Cyprus",true,"Greece",0
"1999-02-06","Slovenia","Switzerland",0,2,"Friendly","Muscat","Oman",true,"Switzerland",0
"1999-02-09","Belgium","Czech Republic",0,1,"Friendly","Brussels","Belgium",false,"Czech Republic",0
